OTUID	X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X7	X8	X9
ASV_1004	4	1	2	1	76	7	16	14	36	8	0	2	0	2	0	0	1	10	12	8	21	9	3	4	0	0	2	1	0	0	163	0	0	2	2	0	0	23	40	0	16	44	1	0	16	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0
ASV_6796	1	31	8	23	8	3	0	0	0	0	2	4	0	5	1	2	1	55	51	58	53	65	2	84	0	0	0	0	0	29	0	0	1	2	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	14	21	13
ASV_934	0	1	3	3	2	1	5	2	2	0	0	174	0	2	0	0	1	0	4	0	1	4	8	3	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	27	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	66	6	6
ASV_5097	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	3	0	0	0	0	59	0	1	226	0	3	127	0	2	99	3	0	1	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	0	0	0	0	1	0	16	0	0	0	0	0	0
ASV_1093	0	8	4	5	8	1	11	5	4	1	1	1	1	0	1	1	1	41	78	49	54	37	3	45	0	33	0	0	0	0	0	0	0	1	32	0	54	10	14	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	6	5	10
ASV_1856	0	15	5	9	14	1	12	0	2	1	1	0	0	0	1	4	1	72	78	69	65	68	3	66	0	0	0	0	0	0	38	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	7	5
ASV_6757	119	18	12	26	17	6	3	12	27	16	0	5	0	0	1	1	0	18	17	15	12	6	43	15	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	82	0	0	0	0	0	0	0	27	11	32
ASV_1160	6	1	0	3	91	45	23	29	15	195	1	7	1	2	0	0	0	1	6	3	3	3	68	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	5	5	1
ASV_917	4	2	0	0	1	1	0	0	0	0	91	3	122	57	71	115	66	0	2	1	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0
ASV_888	0	3	0	0	0	0	0	0	1	0	40	1	90	72	81	87	72	1	0	2	1	0	2	1	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	1	1
ASV_1507	7	31	5	42	7	83	18	6	15	2	0	18	3	1	0	2	0	30	35	19	32	27	9	26	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	23	14	62
ASV_975	0	11	23	12	3	3	10	1	1	1	2	0	2	3	5	0	1	82	73	71	56	72	2	64	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	15	4
ASV_1233	1	3	5	3	2	0	1	1	0	0	57	7	75	43	54	69	77	22	25	12	11	15	4	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	7	2	2
ASV_923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	511	0	2	3	1	0	2	8	3	1	0	0	2	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ASV_967	0	3	3	0	1	1	2	0	0	0	24	1	15	14	16	11	8	14	3	13	9	20	3	8	13	1	0	0	0	0	0	34	73	1	0	0	0	0	3	213	0	0	0	1	1	4	2	6	1	2	0	2	2	1	1	0	0	0	2	2	3	0	0	2	0	3
ASV_1070	0	4	0	0	2	0	2	0	3	2	65	1	104	46	65	61	66	7	3	3	5	2	7	6	0	0	1	0	60	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	1	1	3
ASV_1032	0	46	34	52	0	1	3	0	1	1	2	0	3	2	3	3	1	40	46	45	49	52	3	30	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	46	41	28
ASV_1403	58	5	6	4	21	28	3	5	3	1	1	4	0	3	0	0	1	20	18	18	23	28	11	38	0	44	0	0	51	0	43	16	2	2	25	1	0	5	1	0	0	0	0	0	7	0	0	1	0	0	0	0	3	0	0	14	0	15	0	0	0	0	0	4	4	3
ASV_935	7	5	0	5	1	0	1	1	1	0	3	0	0	1	0	1	0	91	140	30	80	82	1	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	3
ASV_1046	1	0	0	0	0	2	1	0	1	0	77	2	58	54	74	70	58	0	5	1	2	0	1	0	0	0	0	0	0	0	0	0	118	0	0	0	0	2	0	6	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0
ASV_1827	31	34	11	40	22	103	53	42	38	79	0	11	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	32	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	7	11	3
ASV_992	2	26	5	12	0	2	0	1	1	2	0	0	0	1	2	0	0	53	59	61	53	66	2	93	0	0	0	0	0	0	0	0	0	1	0	0	0	10	11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	42	14
ASV_1062	2	89	1	10	2	2	0	5	1	0	0	0	0	0	0	0	0	62	16	13	63	21	1	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	73	113
ASV_1893	1	4	1	1	123	14	50	68	49	39	0	1	0	1	2	2	0	10	17	14	12	10	5	10	0	37	0	1	0	0	0	29	0	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	2	3	4
ASV_1023	0	30	59	57	1	2	5	4	2	1	0	0	1	0	0	0	0	46	28	38	32	44	3	47	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	30	49	38
ASV_1117	28	13	4	3	0	1	0	0	2	0	49	1	44	57	35	43	50	26	14	10	19	26	5	19	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	6	8	1
ASV_1135	15	6	1	11	2	3	2	5	2	1	0	69	2	1	0	3	1	4	1	0	5	0	112	3	0	0	0	0	17	0	0	0	0	75	0	0	1	0	0	0	0	0	0	0	168	0	0	0	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0	7	1	2
ASV_996	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	5	0	2	1	0	0	0	1	2	0	89	2	0	0	1	1	254	0	1	3	61	14	21	11	11	19	0	0	0	0	0	0	3	0	0	0	0	1	0	0	3	12	4	4	1	2	0	1	0	1
ASV_1193	3	31	17	50	5	1	2	1	3	2	0	1	0	1	3	1	0	49	32	58	43	62	4	32	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	12	0	0	0	2	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	38	44	27
ASV_898	0	22	1	4	2	8	1	0	69	0	0	2	0	0	0	1	0	0	1	1	0	0	3	0	0	1	0	1	0	1	0	1	3	1	1	1	79	1	2	105	194	1	0	0	3	0	0	0	0	1	0	1	0	0	0	3	1	0	9	0	0	0	0	0	3	1
ASV_1087	10	15	14	10	3	2	3	0	2	1	1	3	0	0	0	1	1	31	28	29	46	30	0	27	0	20	0	120	0	0	0	1	1	4	21	0	0	0	11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	43	20	22
ASV_1289	0	14	7	28	6	0	0	0	0	0	5	2	1	7	0	1	1	56	42	54	40	64	1	57	0	0	0	0	0	0	0	1	109	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	12	4
ASV_2712	0	3	6	1	0	3	1	0	4	2	63	4	75	79	106	83	71	4	8	1	3	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
ASV_6498	0	7	2	9	87	50	82	10	37	9	0	9	0	4	0	0	0	13	22	18	36	12	37	12	0	0	0	0	0	0	0	26	0	8	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	4	2
ASV_977	1	5	2	3	3	2	0	0	4	0	73	7	54	56	51	56	51	10	13	22	20	26	2	17	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	0	0	3	0	0	0	0	4	5	3
ASV_1138	0	1	0	1	1	0	0	0	0	1	0	0	14	3	0	0	1	0	0	3	1	2	0	2	1	0	3	0	1	1	1	33	2	1	1	0	0	2	1	0	10	1	395	1	0	0	1	0	0	0	0	1	6	1	1	0	0	0	0	2	12	13	5	0	0	0
ASV_914	64	12	2	0	20	34	22	16	23	116	0	109	0	1	0	0	0	1	3	1	2	1	4	2	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	2	66	0
ASV_1098	5	8	7	9	1	1	0	0	0	0	43	7	36	37	21	36	30	31	34	42	40	32	6	28	0	0	0	0	0	0	0	0	0	2	0	0	0	15	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	13	19	8
ASV_1146	20	10	4	23	30	1	1	1	2	1	2	8	0	2	0	0	3	14	16	16	8	16	31	12	0	0	0	0	0	15	0	0	0	1	0	1	0	0	2	0	0	0	29	1	4	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	57	56	93
ASV_1166	39	2	1	1	0	14	14	2	2	3	0	157	2	0	5	0	1	3	2	2	1	3	0	3	0	0	0	0	0	0	9	1	0	40	0	0	18	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	2	3	4
ASV_1866	5	4	4	2	1	0	4	0	0	0	124	4	34	38	42	74	44	8	7	12	16	11	3	11	0	0	0	0	53	1	1	0	0	2	0	0	0	0	6	0	0	0	2	0	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	3	3	0
ASV_1084	1	17	11	16	1	2	12	0	1	0	16	0	26	6	14	11	8	41	63	48	44	58	2	71	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10	24	13
ASV_2961	61	16	5	16	15	39	44	10	1	5	1	6	0	0	0	0	0	11	2	5	8	4	104	7	0	0	16	0	0	0	0	1	1	6	0	0	0	0	2	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	36	0	0	0	1	0	0	0	19	23	36
ASV_953	6	18	16	18	2	2	3	0	0	0	3	7	0	4	9	2	5	49	63	56	51	57	23	53	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	13	16
ASV_1459	6	14	21	22	1	3	3	7	1	0	3	0	1	3	3	1	3	61	45	83	55	58	2	62	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	16	21	10
ASV_4409	50	8	5	16	17	4	3	112	12	5	0	8	0	6	1	3	1	6	4	10	9	12	29	10	0	0	2	0	0	0	0	1	65	39	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	39	1	0	0	0	0	1	0	12	7	12
ASV_1071	1	1	0	5	77	50	300	9	9	5	0	3	2	3	0	1	1	5	2	5	1	9	4	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	3	0
ASV_1085	116	17	17	16	2	3	4	1	1	1	0	3	2	3	1	1	2	4	7	3	5	6	176	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	27	33	24
ASV_903	15	20	2	1	128	2	60	17	27	199	0	10	0	0	1	1	0	1	0	2	1	1	9	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	5	1
ASV_1323	3	2	4	5	153	45	79	42	28	35	0	13	1	0	0	0	0	3	0	0	1	4	6	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	48	0	8	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	9	3	5
ASV_1489	20	3	7	8	19	19	10	26	30	8	1	86	0	0	1	0	0	9	5	4	2	3	37	6	0	0	0	0	0	0	0	14	105	10	0	0	0	0	0	0	0	0	0	0	48	0	0	0	1	0	0	1	0	0	1	26	0	0	1	0	0	0	0	4	2	3
ASV_1082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	1	496	0	3	0	0	0	0	0	1	6	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ASV_1125	1	1	0	3	0	1	2	1	0	0	3	1	2	2	1	2	1	88	86	70	65	79	1	70	16	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	1
ASV_1863	4	2	2	0	0	2	0	1	0	0	0	95	0	0	2	3	2	2	0	0	1	1	6	0	0	33	0	0	0	0	0	0	0	71	1	0	0	0	2	0	0	0	0	0	284	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0
ASV_2743	33	1	2	12	18	41	8	17	9	2	1	52	0	1	2	0	0	8	9	7	9	6	65	6	7	0	16	0	0	0	16	0	0	23	0	0	1	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	1	16	0	0	0	2	0	0	0	2	3	2
ASV_993	4	62	16	36	1	0	1	0	1	0	1	2	2	12	2	1	0	23	38	29	23	37	2	45	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	34	63	21
ASV_1026	2	17	8	19	2	0	0	0	0	0	18	1	6	14	14	24	9	51	25	63	36	42	1	55	0	0	0	1	0	0	0	0	0	0	2	0	70	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	12	16	5
ASV_1144	1	10	4	11	2	1	0	0	0	1	1	0	0	0	3	4	2	36	63	42	48	62	7	56	0	0	0	91	0	0	1	0	0	2	44	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	11	4
ASV_986	0	40	21	27	0	1	0	1	0	0	2	1	4	4	5	0	7	36	48	50	37	38	0	45	0	0	0	0	0	0	0	15	18	1	0	0	0	0	1	25	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	36	25	26
ASV_1066	10	1	1	3	30	168	189	27	21	19	1	0	4	1	2	1	3	4	3	4	1	1	5	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	3	0	1
ASV_1078	17	13	3	12	3	3	4	0	2	1	1	32	0	0	0	1	0	0	1	0	2	1	1	2	0	0	0	0	0	0	0	16	0	161	31	0	0	0	0	0	5	1	0	0	123	0	0	0	0	0	0	0	0	0	2	33	0	0	0	0	0	0	0	25	5	16
ASV_1178	4	4	1	1	129	63	19	3	28	14	2	18	0	4	1	0	0	4	3	7	2	1	12	4	0	0	0	0	41	0	0	1	0	5	0	0	0	1	1	1	0	0	35	0	97	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	3	3
ASV_1279	72	44	7	21	2	0	1	0	0	0	1	1	0	1	0	0	1	23	25	31	28	31	41	47	0	0	0	0	0	0	0	0	0	0	17	0	0	18	0	0	2	0	15	0	2	0	0	0	0	0	0	0	0	2	0	12	0	0	1	0	0	0	0	14	25	32
ASV_1047	1	11	3	15	1	0	0	0	1	1	5	2	3	3	0	3	1	59	62	91	69	78	0	75	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	6	18	3
ASV_1052	0	1	0	0	0	0	1	0	0	1	83	8	88	62	94	97	52	2	1	1	2	2	11	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
ASV_963	21	37	0	2	131	1	62	21	20	174	0	8	0	0	2	0	0	1	0	1	3	2	19	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1
ASV_994	6	17	21	15	0	1	2	0	0	4	8	11	0	0	0	0	1	40	58	58	59	40	9	47	0	15	0	0	0	0	1	0	0	7	1	0	0	0	26	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	15	11	32
ASV_979	2	6	2	9	3	1	0	0	0	0	83	5	55	68	59	51	65	10	9	11	10	13	5	24	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10	2	6
ASV_1786	4	116	10	74	3	1	3	1	0	2	1	4	1	0	0	0	2	2	1	10	4	1	4	0	0	0	0	0	1	0	0	0	0	26	1	0	0	0	10	20	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	8	0	0	0	2	0	0	0	119	18	58
ASV_4040	0	17	8	21	5	3	3	0	2	1	9	2	7	7	1	10	5	54	35	40	39	57	16	54	0	0	23	0	1	0	0	0	0	5	0	0	0	0	0	0	12	0	0	0	18	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	29	14	5
ASV_968	0	0	4	2	426	4	1	9	19	7	0	1	0	2	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	3	0	15	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
ASV_1080	2	1	14	2	9	2	55	5	306	25	1	1	0	1	0	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	49	0	1	0	0	0	13	0	0	0	0	0	0	3	0	2	0	2	0	1	0	0	0	0	3	4	0	0	0	0	0	0	2	0	0
ASV_1448	3	20	7	23	12	0	4	1	6	0	3	1	2	5	1	0	12	39	53	57	59	48	7	64	0	0	1	0	1	1	0	0	0	4	0	0	0	13	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	21	27	8
ASV_1466	13	2	1	3	115	44	106	98	27	50	1	3	0	1	0	0	3	1	1	3	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	23	0	0	4	0	0	0	0	0	0	1
ASV_1122	0	1	2	0	0	0	1	0	0	0	111	1	59	84	105	55	76	1	0	3	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ASV_1126	4	7	6	5	4	12	2	1	0	0	25	1	11	15	15	17	14	45	38	38	28	36	3	29	14	0	0	0	0	0	0	0	1	1	35	0	0	18	8	14	0	0	25	0	0	1	2	0	0	1	0	0	0	0	5	5	0	0	4	1	1	1	0	4	9	2
ASV_1150	6	4	1	2	3	2	2	0	1	0	59	8	69	63	53	58	41	5	8	6	8	2	34	19	0	0	0	0	0	0	0	0	0	3	0	0	1	19	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	1	0	0	2	6	0
ASV_1079	9	23	9	18	0	0	1	2	1	0	0	4	0	0	2	0	0	55	75	52	29	63	6	30	15	0	0	0	0	0	0	0	0	3	0	26	0	0	1	21	0	0	0	0	2	0	0	15	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	8	12	16
ASV_951	4	68	22	43	2	2	0	1	0	1	0	4	0	1	0	0	1	9	8	5	7	5	1	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	24	219	63
ASV_999	13	22	17	9	2	1	0	1	0	0	0	4	0	3	1	0	1	2	4	6	3	2	28	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	30	124	195
ASV_1000	1	1	2	1	0	0	1	0	1	2	97	1	68	57	69	80	94	3	0	2	0	1	6	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
ASV_932	2	0	0	2	0	0	1	2	1	0	4	0	6	0	0	4	0	2	0	0	1	0	0	0	0	11	0	2	0	1	286	77	2	0	20	1	0	4	39	18	8	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	1	1	1	0	1	1
ASV_1054	1	5	5	4	32	8	15	3	6	13	4	1	0	1	1	1	0	3	1	3	3	2	93	2	0	11	8	0	0	0	0	0	1	0	0	0	221	0	0	0	0	1	0	5	3	0	0	8	0	0	0	0	3	0	0	10	0	5	8	0	4	0	0	5	3	1
ASV_1090	22	2	3	5	149	111	53	1	33	13	1	1	0	1	0	0	0	1	2	6	0	1	3	2	0	0	0	0	0	0	0	16	0	2	12	3	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	44	2	1
ASV_1592	57	12	18	9	6	11	11	20	19	8	0	93	4	5	0	0	0	1	0	2	7	1	53	6	0	15	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	4	39	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	5	3	12
ASV_1270	66	13	4	7	12	8	6	127	92	46	1	15	0	0	1	0	0	0	4	1	0	0	7	1	0	0	0	0	0	0	0	0	54	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	4	18	0
ASV_1337	3	3	5	4	1	1	2	449	0	1	1	0	0	4	0	2	4	0	1	2	2	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0
ASV_4114	13	17	12	15	3	1	3	0	1	0	8	3	10	1	5	4	3	0	1	2	4	0	4	1	0	1	1	68	0	0	0	0	115	2	0	1	0	24	1	13	0	73	0	0	3	0	2	1	0	0	1	0	0	0	0	6	0	0	0	2	0	0	0	36	27	14
ASV_1218	1	11	12	15	1	1	1	1	0	0	5	0	4	5	4	0	14	58	65	53	56	63	0	61	0	0	0	0	0	0	31	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	18	7
ASV_1008	1	73	62	16	1	0	0	0	3	0	0	1	1	3	0	0	1	16	21	18	24	30	0	19	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	29	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	58	81	23
ASV_1045	0	1	2	1	1	0	0	0	1	0	96	1	36	51	88	51	45	1	1	1	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	44	0	11	0	0	1	52	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
ASV_1128	0	13	12	10	1	1	3	2	2	0	0	1	1	1	3	2	0	50	67	75	52	61	4	70	0	0	0	0	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	11
ASV_1139	9	4	8	5	0	0	1	0	0	0	56	3	48	34	58	79	49	13	22	20	22	16	6	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	17	2
ASV_2175	0	7	9	6	97	73	100	12	9	18	2	8	2	2	4	1	5	6	22	9	3	4	8	10	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	0	0	0	0	1	7	0	0	0	0	0	0	1	0	0	0	23	0	0	0	0	0	1	0	11	13	9
ASV_1181	6	2	0	1	2	1	0	0	0	0	77	3	69	94	39	91	74	1	3	0	3	3	8	7	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ASV_1247	0	2	0	0	3	2	4	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	441	0	1	17	0	6	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0
ASV_988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	13	2	1	1	97	0	0	2	0	0	1	2	1	47	2	0	17	1	85	3	0	1	0	0	0	0	1	0	54	7	0	0	2	0	0	1	60	87	3	0	0	0
ASV_1145	2	12	11	25	0	0	0	1	0	2	2	0	2	0	1	0	1	39	56	39	57	46	1	50	0	35	0	0	0	0	0	0	0	2	0	1	0	28	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	16	31	17
ASV_1091	57	7	5	6	21	44	13	27	6	8	1	4	1	1	0	0	0	3	2	1	0	1	11	1	8	10	0	56	0	10	1	38	0	6	0	1	0	0	2	2	0	2	19	0	10	2	0	26	1	0	1	5	2	3	0	21	0	4	10	3	0	0	0	2	21	4
