OTUID	X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X7	X8	X9
ASV_29	58	33	74	57	796	509	67	9076	725	1565	1	46	11	12	15	9	11	13	18	13	15	20	18	15	0	0	0	63	1	0	0	0	0	57	0	0	0	0	6	0	9	69	0	0	43	0	0	9	0	3	0	0	0	0	0	33	1	0	0	0	0	0	0	24	50	41
ASV_25	4	5	7	11	2	9	17	1990	16	5	10	9	3	2	2	1	11	2	9	4	1	0	3	0	2	51	4	105	12	28	8	19	78	8	1601	171	417	134	11	6	11	22	1	110	14	111	73	57	32	42	21	3	253	20	35	5	31	19	6883	128	124	349	127	5	12	16
ASV_33	172	163	45	114	312	87	57	9	19	31	4	43	1	1	5	2	27	11	22	11	13	24	11	9	6	27	20	21	47	5	2710	665	554	46	389	1009	920	78	22	7	8	8	35	1379	66	3173	15	10	6	9	8	6	16	10	13	50	20	56	16	9	79	32	28	114	88	159
ASV_36	323	115	59	545	3028	1049	950	259	495	268	32	80	21	45	41	26	33	214	220	231	248	229	1993	196	0	9	8	353	0	23	1	53	1	99	27	35	1	41	64	23	15	52	0	31	387	1	1	0	3	0	1	12	1	3	0	355	0	17	1	4	0	1	0	211	159	176
ASV_26	3	5	10	5	8	12	8	3054	5	7	1	5	0	2	0	3	0	5	2	4	1	5	5	1	1	27	3	11	7	42	8	115	122	9	5859	90	768	15	20	7	5	7	6	4	3	5	4	4	1	0	3	6	7	1	3	12	8	56	1223	287	41	208	307	4	7	6
ASV_30	274	18	22	28	14	9	18	10	2	7	1604	294	1508	1474	1359	1255	1306	100	115	130	118	114	1090	118	32	35	0	50	0	1	39	0	2	91	1	0	1	0	5	0	29	18	0	0	168	0	0	0	0	0	1	1	3	0	1	279	0	0	0	1	0	0	1	29	28	18
ASV_28	17	1	2	0	0	618	73	1	24	12	0	13	2	2	0	0	0	2	0	0	2	1	1	1	5	5	5	3	1	2	46	85	266	3	28	3707	6338	11	8	5	3	3	3	0	3	0	2	0	2	2	0	2	3	1	1	6	2	0	2	1	2	6	1	2	12	0
ASV_34	2147	261	778	641	55	14	48	12	34	14	5	2847	5	9	16	5	8	9	22	17	16	18	451	17	0	1	1	0	0	0	0	27	149	40	0	3	2	9	1	0	0	70	76	0	1080	0	15	0	0	5	0	0	3	0	2	1205	0	21	0	0	0	3	0	644	115	127
ASV_70	1372	413	119	171	12	4	14	5	12	4	24	139	6	11	8	3	5	1145	911	992	993	1100	161	906	0	2	0	3	40	0	96	98	48	57	2	0	2	43	12	74	0	0	0	0	101	0	0	0	4	0	0	0	0	1	0	202	1	0	1	1	2	0	1	309	575	366
ASV_38	59	29	23	25	25	26	39	16	15	10	1218	76	1413	1767	1622	1407	1570	53	63	71	80	71	299	73	0	0	0	0	0	1	0	17	1	50	32	20	0	22	0	19	0	0	14	1	84	0	0	0	0	0	0	0	0	0	0	58	1	0	1	0	1	1	0	29	29	38
ASV_48	172	117	31	115	298	130	204	12	49	43	18	1120	17	11	28	29	27	36	29	24	27	30	689	32	50	122	94	4	42	1	3	21	222	1183	5	3	0	28	746	52	142	1	38	63	2043	2	1	28	50	1	46	3	11	36	37	1176	29	8	8	12	0	3	2	270	80	447
ASV_32	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	7	14	37	10039	7	4	6	36	7	0	9	8	3	6	38	11	9	7	10	5	0	2	0	1	4	5	0	2	7	2	0	0	3	3	7	2	2	1	4	0	0	0
ASV_39	36	32	18	23	15	13	7	11	7	9	1634	52	1426	1684	1655	1478	1299	33	37	31	33	25	324	41	0	16	1	0	53	0	0	67	0	32	0	1	1	0	3	0	14	9	0	1	44	0	0	0	0	0	2	0	1	1	1	51	1	0	0	0	0	0	0	20	13	17
ASV_35	10	0	6	3	2	8	4	2	22	4	35	8	42	30	25	45	31	19	24	12	21	26	6	27	90	854	212	515	103	118	1011	1794	1647	4	637	79	493	812	211	396	132	345	133	7	7	1	9	2	6	3	11	4	9	4	6	5	4	7	14	4	2	5	2	10	25	26
ASV_40	467	158	55	90	295	200	324	15	272	209	5	2451	6	21	11	5	7	25	34	19	23	23	254	18	7	45	16	1	0	0	68	62	106	2458	38	2	133	50	16	10	13	1	25	3	1266	1	4	0	1	0	2	0	7	0	0	466	4	13	4	2	4	1	1	79	78	125
ASV_44	16	38	12	29	6	10	17	7	6	6	1542	30	1195	1338	1412	1303	1179	240	177	233	224	227	52	222	0	14	0	69	31	0	44	1	0	17	0	0	86	21	3	0	5	0	0	0	29	1	0	0	0	0	0	3	0	1	0	10	0	0	1	0	0	0	0	25	37	23
